id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
103,14 Herculis b,58,8.053 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,9.207 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.883 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
128,14 Herculis b,58,8.053 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,9.207 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.883 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
150,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
153,14 Herculis b,58,8.053 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,9.207 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.883 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
169,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
170,42 Draconis b,296,3.88 Jupiters,4.8262,2008
171,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
172,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
173,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
174,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
175,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
176,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
177,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
178,14 Herculis b,58,8.053 Jupiters,6.61935,2002
179,16 Cygni B b,69,1.78 Jupiters,6.215,1996
180,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
181,18 Delphini b,249,9.207 Jupiters,5.51048,2008
182,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
183,24 Bootis b,313,0.883 Jupiters,5.59,2018
184,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
185,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
186,2M0437 b,419,4 Jupiters,16.186,2021
187,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
188,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
189,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
190,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
191,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
192,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
193,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
194,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
195,42 Draconis b,296,3.88 Jupiters,4.8262,2008
196,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
197,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
198,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
199,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
200,AU Microscopii c,32,9.6 Earths,8.81,2021
201,AU Microscopii d,32,1.053 Earths,8.81,2023
202,b Centauri AB b,320,10.9 Jupiters,4.01,2021
203,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
204,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
205,BD-06 1339 b,66,8.5 Earths,9.7,2013
206,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
207,BD-08 2823 b,135,12.7132 Earths,9.86,2009
208,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
209,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
210,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
211,BD-11 4672 c,89,15.37 Earths,10.03,2020
212,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
213,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
214,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
215,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
216,BD-17 63 b,112,5.1 Jupiters,9.62,2008
217,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
218,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
219,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
220,BD+20 594 b,585,22.2481 Earths,10.849,2016
221,BD-210397 b,77,0.7 Jupiters,9.84,2023
222,BD-210397 c,77,4.8 Jupiters,9.84,2023
223,BD+45 564 b,175,1.36 Jupiters,9.67,2021
224,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
225,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
226,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
227,CT Chamaleontis b,622,17 Jupiters,12.335,2007
228,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
229,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
230,DH Tauri b,440,11 Jupiters,13.98,2004
231,DMPP-1 b,204,24.27 Earths,7.98,2019
232,DMPP-1 c,204,9.6 Earths,7.98,2019
233,DMPP-1 d,204,3.35 Earths,7.98,2019
234,DMPP-1 e,204,4.13 Earths,7.98,2019
235,DMPP-2 b,450,0.437 Jupiters,8.57,2019
236,DMPP-3 A b,148,2.58 Earths,9.066,2019
237,DMPP-4 b,83,12.2 Earths,5.72936,2023
238,DP Leonis b,997,6.28 Jupiters,18.6837,2009
239,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
240,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
241,EPIC 201238110 b,520,4.16 Earths,16.014,2019
242,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
243,EPIC 201497682 b,825,0.26 Earths,13.948,2019
244,EPIC 201595106 b,757,2.24 Earths,11.746,2021
245,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
246,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
247,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
248,EPIC 201833600 c,840,0.972 Earths,14.705,2019
249,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
250,EPIC 205950854 c,796,2.27 Earths,12.365,2019
251,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
252,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
253,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
254,EPIC 206032309 b,526,1.01 Earths,17.89,2019
255,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
256,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
257,EPIC 206215704 b,358,0.972 Earths,17.83,2019
258,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
259,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
260,EPIC 211822797 b,607,4.35 Earths,15.133,2016
261,EPIC 211945201 b,593,27 Earths,10.154,2018
262,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
263,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
264,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
265,EPIC 212499991 b,924,3.19 Earths,13.672,2019
266,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
267,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
268,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
269,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
270,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
271,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
272,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
273,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
274,EPIC 220674823 b,798,8.21 Earths,12.101,2016
275,EPIC 220674823 c,798,8.9 Earths,12.101,2016
276,EPIC 228836835 b,490,1.37 Earths,16.77,2021
277,EPIC 229004835 b,398,10.4 Earths,10.23,2023
278,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
279,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
280,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
281,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
282,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
283,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
284,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
285,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
286,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
287,FU Tauri b,435,16 Jupiters,,2008
288,G 264-012 b,52,2.5 Earths,13.078,2021
289,G 264-012 c,52,3.75 Earths,13.078,2021
290,G 9-40 b,91,11.7 Earths,13.821,2019
291,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
292,Gaia-2 b,683,0.817 Jupiters,11.277,2022
293,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
294,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
295,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
296,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
297,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
298,GJ 1002 b,16,1.08 Earths,13.76,2022
299,GJ 1002 c,16,1.36 Earths,13.76,2022
300,EPIC 220674823 c,798,8.9 Earths,12.101,2016
301,EPIC 228836835 b,490,1.37 Earths,16.77,2021
302,EPIC 229004835 b,398,10.4 Earths,10.23,2023
303,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
304,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
305,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
306,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
307,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
308,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
309,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
310,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
311,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
312,FU Tauri b,435,16 Jupiters,,2008
313,G 264-012 b,52,2.5 Earths,13.078,2021
314,G 264-012 c,52,3.75 Earths,13.078,2021
315,G 9-40 b,91,11.7 Earths,13.821,2019
316,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
317,Gaia-2 b,683,0.817 Jupiters,11.277,2022
318,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
319,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
320,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
321,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
322,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
323,GJ 1002 b,16,1.08 Earths,13.76,2022
324,GJ 1002 c,16,1.36 Earths,13.76,2022
325,EPIC 220674823 c,798,8.9 Earths,12.101,2016
326,EPIC 228836835 b,490,1.37 Earths,16.77,2021
327,EPIC 229004835 b,398,10.4 Earths,10.23,2023
328,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
329,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
330,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
331,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
332,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
333,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
334,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
335,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
336,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
337,FU Tauri b,435,16 Jupiters,,2008
338,G 264-012 b,52,2.5 Earths,13.078,2021
339,G 264-012 c,52,3.75 Earths,13.078,2021
340,G 9-40 b,91,11.7 Earths,13.821,2019
341,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
342,Gaia-2 b,683,0.817 Jupiters,11.277,2022
343,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
344,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
345,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
346,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
347,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
348,GJ 1002 b,16,1.08 Earths,13.76,2022
349,GJ 1002 c,16,1.36 Earths,13.76,2022
350,EPIC 220674823 c,798,8.9 Earths,12.101,2016
351,EPIC 228836835 b,490,1.37 Earths,16.77,2021
352,EPIC 229004835 b,398,10.4 Earths,10.23,2023
353,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
354,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
355,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
356,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
357,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
358,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
359,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
360,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
361,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
362,FU Tauri b,435,16 Jupiters,,2008
363,G 264-012 b,52,2.5 Earths,13.078,2021
364,G 264-012 c,52,3.75 Earths,13.078,2021
365,G 9-40 b,91,11.7 Earths,13.821,2019
366,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
367,Gaia-2 b,683,0.817 Jupiters,11.277,2022
368,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
369,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
370,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
371,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
372,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
373,GJ 1002 b,16,1.08 Earths,13.76,2022
374,GJ 1002 c,16,1.36 Earths,13.76,2022
375,EPIC 220674823 c,798,8.9 Earths,12.101,2016
376,EPIC 228836835 b,490,1.37 Earths,16.77,2021
377,EPIC 229004835 b,398,10.4 Earths,10.23,2023
378,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
379,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
380,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
381,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
382,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
383,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
384,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
385,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
386,Epsilon Tauri b,155,7.19 Jupiters,3.523,2006
387,FU Tauri b,435,16 Jupiters,,2008
388,G 264-012 b,52,2.5 Earths,13.078,2021
389,G 264-012 c,52,3.75 Earths,13.078,2021
390,G 9-40 b,91,11.7 Earths,13.821,2019
391,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
392,Gaia-2 b,683,0.817 Jupiters,11.277,2022
393,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
394,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
395,Gamma Librae b,155,1.126 Jupiters,3.90672,2018
396,Gamma Librae c,155,5.231 Jupiters,3.90672,2018
397,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
398,GJ 1002 b,16,1.08 Earths,13.76,2022
399,GJ 1002 c,16,1.36 Earths,13.76,2022
400,GJ 1061 b,12,1.37 Earths,12.7,2020
401,GJ 1061 c,12,1.74 Earths,12.7,2020
402,GJ 1061 d,12,1.64 Earths,12.7,2020
403,GJ 1132 b,41,1.66 Earths,13.68,2015
404,GJ 1132 c,41,2.64 Earths,13.68,2018
405,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
406,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
407,GJ 1151 c,26,10.62 Earths,13.76,2023
408,GJ 1214 b,48,8.17 Earths,15.1,2009
409,GJ 1252 b,66,1.32 Earths,12.68,2020
410,GJ 1265 b,33,7.4 Earths,14.01,2018
411,GJ 143 b,53,22.7 Earths,8.08,2019
412,GJ 15 A b,12,3.03 Earths,8.09,2014
413,GJ 15 A c,12,36 Earths,8.09,2018
414,GJ 160.2 b,84,10.2 Earths,9.7,2014
415,GJ 163 b,49,10.6 Earths,11.79,2013
416,GJ 163 c,49,6.8 Earths,11.79,2013
417,GJ 163 d,49,29.4 Earths,11.79,2013
418,GJ 179 b,40,0.95 Jupiters,11.963,2009
419,GJ 180 b,39,6.49 Earths,10.914,2014
420,GJ 180 c,39,6.4 Earths,10.914,2014
421,GJ 180 d,39,7.56 Earths,10.914,2020
422,GJ 2030 b,121,4.76743 Earths,6.20902,2022
423,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
424,GJ 2056 b,93,16.2 Earths,10.37,2020
425,GJ 1061 b,12,1.37 Earths,12.7,2020
426,GJ 1061 c,12,1.74 Earths,12.7,2020
427,GJ 1061 d,12,1.64 Earths,12.7,2020
428,GJ 1132 b,41,1.66 Earths,13.68,2015
429,GJ 1132 c,41,2.64 Earths,13.68,2018
430,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
431,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
432,GJ 1151 c,26,10.62 Earths,13.76,2023
433,GJ 1214 b,48,8.17 Earths,15.1,2009
434,GJ 1252 b,66,1.32 Earths,12.68,2020
435,GJ 1265 b,33,7.4 Earths,14.01,2018
436,GJ 143 b,53,22.7 Earths,8.08,2019
437,GJ 15 A b,12,3.03 Earths,8.09,2014
438,GJ 15 A c,12,36 Earths,8.09,2018
439,GJ 160.2 b,84,10.2 Earths,9.7,2014
440,GJ 163 b,49,10.6 Earths,11.79,2013
441,GJ 163 c,49,6.8 Earths,11.79,2013
442,GJ 163 d,49,29.4 Earths,11.79,2013
443,GJ 179 b,40,0.95 Jupiters,11.963,2009
444,GJ 180 b,39,6.49 Earths,10.914,2014
445,GJ 180 c,39,6.4 Earths,10.914,2014
446,GJ 180 d,39,7.56 Earths,10.914,2020
447,GJ 2030 b,121,4.76743 Earths,6.20902,2022
448,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
